Nr.;Themengebiet;Frage;Option A;Option B;Option C;Option D;Richtig;Vollst„ndige Antwort;Schwierigkeit
25;Stoffwechselst”rungen;Welcher Enzymdefekt und welches Therapieprinzip kennzeichnen die Tyrosin„mie Typ I?;"Defekt der Tyrosinhydroxylase; L-Dopa-Substitution";"Defekt der Homogentisat-Dioxygenase; Ascorbins„ure-Gabe";"Defekt der Fumarylacetoacetat-Hydrolase (FAH) mit Anreicherung von Succinylaceton; Therapie mit NTBC (Nitisinon) plus tyrosin-/phenylalaninarme Di„t.";"Defekt der Phenylalaninhydroxylase; Sapropterin-Therapie";C;"Defekt der Fumarylacetoacetat-Hydrolase (FAH) mit Anreicherung von Succinylaceton; Therapie mit NTBC (Nitisinon) plus tyrosin-/phenylalaninarme Di„t.";schwer
26;Stoffwechselst”rungen;Eine klassische Galaktos„mie manifestiert sich nach Beginn der Milchftterung. Welcher Enzymdefekt liegt vor und welche akute Komplikation droht?;"Defekt der Galaktose-1-Phosphat-Uridyltransferase (GALT); droht akutes Leberversagen, zudem Katarakt und erh”htes Risiko fr E.-coli-Sepsis.";"Defekt der intestinalen Laktase; chronisch-w„ssrige Diarrh”";"Defekt der Glukose-6-Phosphatase; hyperosmolares Koma";"Defekt der Fruktose-1-phosphat-Aldolase; Hypoglyk„mie";A;"Defekt der Galaktose-1-Phosphat-Uridyltransferase (GALT); droht akutes Leberversagen, zudem Katarakt und erh”htes Risiko fr E.-coli-Sepsis.";schwer
27;Stoffwechselst”rungen;Worin besteht die Therapie der klassischen Galaktos„mie?;Lebenslange laktose-/galaktosefreie Ern„hrung.;Streng fettreduzierte Di„t plus Pankreasenzyme;Kontinuierliche n„chtliche Zufuhr von Glukose-6-Phosphat;Insulintherapie nach intensiviertem Schema;A;Lebenslange laktose-/galaktosefreie Ern„hrung.;leicht
28;Stoffwechselst”rungen;Welche Stoffwechselgruppe fhrt klassisch zu einer Hyperammon„mie, die als Neugeborenensepsis fehlgedeutet werden kann?;Glykogenosen (z. B. Typ I, von Gierke);Harnstoffzyklusst”rungen.;Fetts„ureoxidationsdefekte (z. B. MCAD-Mangel);Lysosomale Speichererkrankungen (z. B. Morbus Pompe);B;Harnstoffzyklusst”rungen.;mittel
29;Stoffwechselst”rungen;Welche Harnstoffzyklusst”rung ist die h„ufigste und welchen Erbgang weist sie auf?;"Der Ornithin-Transcarbamylase-(OTC-)Mangel; Erbgang X-chromosomal.";"Der Argininosuccinat-Lyase-Mangel; autosomal-dominant";"Die klassische Citrullin„mie Typ I; autosomal-rezessiv";"Der Carbamoylphosphat-Synthetase-1-Mangel; mitochondrial";A;"Der Ornithin-Transcarbamylase-(OTC-)Mangel; Erbgang X-chromosomal.";schwer
30;Stoffwechselst”rungen;Welches Leitsymptom-Muster l„sst beim MCAD-Mangel an die Erkrankung denken?;Hypoketotische Hypoglyk„mie nach l„ngeren Nchternphasen/Fasten (Fastenintoleranz) durch gest”rte Fetts„ureoxidation.;Hyperketotische Hyperglyk„mie nach Fettverzehr;Postprandiale schwere Laktatazidose und Splenomegalie;Chronisch-metabolische Azidose mit hypertoner Dehydration;A;Hypoketotische Hypoglyk„mie nach l„ngeren Nchternphasen/Fasten (Fastenintoleranz) durch gest”rte Fetts„ureoxidation.;schwer
31;Stoffwechselst”rungen;Welche allgemeine Akutmaánahme ist bei Verdacht auf eine metabolische Entgleisung (z. B. Harnstoffzyklusst”rung) zentral?;Sofortige Proteingabe zur Verhinderung von Muskelabbau;Stopp der Proteinzufuhr und hochkalorische Glukosezufuhr zur Anabolie (?Katabolie durchbrechen?), ggf. Ammoniaksenkung/Dialyse.;Flssigkeitsrestriktion und Einleitung einer raschen Khlung;Hochdosierte intraven”se Aminos„uresubstitution;B;Stopp der Proteinzufuhr und hochkalorische Glukosezufuhr zur Anabolie (?Katabolie durchbrechen?), ggf. Ammoniaksenkung/Dialyse.;mittel
32;Stoffwechselst”rungen;Glykogenose Typ I (von Gierke): Welche metabolischen Leitbefunde sind typisch?;Postprandiale Hyperglyk„mie, Splenomegalie und metabolische Alkalose;Nchtern-Ketoazidose mit Mikrozephalie und Panzytopenie;Nchtern-Hypoglyk„mie, Hepatomegalie, Laktatazidose, Hyperurik„mie und Hyperlipid„mie (Defekt der Glukose-6-Phosphatase).;Chronische Hypokali„mie mit Pancreatitis und Osteoporose;C;Nchtern-Hypoglyk„mie, Hepatomegalie, Laktatazidose, Hyperurik„mie und Hyperlipid„mie (Defekt der Glukose-6-Phosphatase).;schwer
33;Stoffwechselst”rungen;Pompe-Erkrankung (Glykogenose Typ II): Welches Organ steht klinisch im Vordergrund und welcher Enzymdefekt liegt vor?;"Defekt der renalen Glukosidase; Nephrokalzinose im Vordergrund";"Mangel an My phosphorylase; rezidivierende Rhabdomyolyse";"Defekt der lysosomalen sauren ?-Glukosidase; im Vordergrund steht die Kardiomyopathie/Muskelhypotonie (infantile Form).";"Defekt der Galaktokinase; Kataraktbildung isoliert im Vordergrund";C;"Defekt der lysosomalen sauren ?-Glukosidase; im Vordergrund steht die Kardiomyopathie/Muskelhypotonie (infantile Form).";schwer
34;Stoffwechselst”rungen;Welche Substanzklasse reichert sich bei den Mukopolysaccharidosen an und welches Leitsymptom ist typisch?;"Sphingolipide; Kirschroter Fleck der Makula und Schwerh”rigkeit";"Glykoproteine; progressive Ataxie und chronische Nephritis";"Glykosaminoglykane (saure Mukopolysaccharide); typisch sind grobe Gesichtszge, Organomegalie, Skelettver„nderungen (Dysostosis multiplex) und teils Intelligenzminderung.";"Lipofuszine; frhkindliche Erblindung und spastische Parese";C;"Glykosaminoglykane (saure Mukopolysaccharide); typisch sind grobe Gesichtszge, Organomegalie, Skelettver„nderungen (Dysostosis multiplex) und teils Intelligenzminderung.";mittel
35;Stoffwechselst”rungen;Welche Stoffwechselerkrankung sollte bei einem Neugeborenen mit Hepatopathie/Leberversagen und auff„lligem Geruch differenzialdiagnostisch immer bedacht werden?;Galaktos„mie, Tyrosin„mie Typ I sowie Ahornsirupkrankheit (je nach Geruch und Laborkonstellation).;Harnstoffzyklusst”rung oder Pyruvatdehydrogenasemangel;MCAD-Mangel oder isolierte Fruktoseintoleranz;Glukose-6-Phosphat-Dehydrogenase-Mangel oder fetale Erythroblastose;A;Galaktos„mie, Tyrosin„mie Typ I sowie Ahornsirupkrankheit (je nach Geruch und Laborkonstellation).;mittel
36;Stoffwechselst”rungen;Was ist das grundlegende Prinzip des erweiterten Neugeborenenscreenings fr Stoffwechselerkrankungen?;Routinem„áige genetische Vollsequenzierung am 5. Lebenstag;Erfassung von Antik”rpern gegen respiratorische Viren;Vorsorgliche Bestimmung aller Elektrolyte und Leberenzyme per Urinstix;Frhe (pr„symptomatische) Erfassung behandelbarer angeborener St”rungen aus Trockenblut, u. a. mittels Tandem-Massenspektrometrie.;D;Frhe (pr„symptomatische) Erfassung behandelbarer angeborener St”rungen aus Trockenblut, u. a. mittels Tandem-Massenspektrometrie.;mittel
37;Diabetologie/Endokrinologie;Welche HbA1c-Schwelle gilt als Diagnosekriterium fr einen Diabetes mellitus?;HbA1c ? 5,7 % (? 39 mmol/mol);HbA1c ? 6,0 % (? 42 mmol/mol);HbA1c ? 7,5 % (? 58 mmol/mol);HbA1c ? 6,5 % (? 48 mmol/mol).;D;HbA1c ? 6,5 % (? 48 mmol/mol).;leicht
38;Diabetologie/Endokrinologie;Nennen Sie die klassische Symptomtrias des manifesten Diabetes mellitus Typ 1 im Kindesalter.;Fieber, Erbrechen und akutes Abdomen;Polyurie, Polydipsie und Gewichtsverlust (oft mit Mdigkeit/Leistungsknick).;Kopfschmerzen, Sehst”rungen und arterielle Hypertonie;H„maturie, ™deme und generalisierte Krampfanf„lle;B;Polyurie, Polydipsie und Gewichtsverlust (oft mit Mdigkeit/Leistungsknick).;leicht
39;Diabetologie/Endokrinologie;Welche Laborkonstellation kennzeichnet die diabetische Ketoazidose (DKA)?;Hypoglyk„mie (<3 mmol/l), respiratorische Alkalose und normale Ketonk”rper;Hyperglyk„mie (>20 mmol/l), metabolische Alkalose und Glukosurie;Hyperglyk„mie (>11 mmol/l), metabolische Azidose (pH <7,3 bzw. Bikarbonat <15 mmol/l) und Ketonk”rper im Blut/Urin.;Normoglyk„mie, respiratorische Azidose und ausgepr„gte Proteinurie;C;Hyperglyk„mie (>11 mmol/l), metabolische Azidose (pH <7,3 bzw. Bikarbonat <15 mmol/l) und Ketonk”rper im Blut/Urin.;mittel
40;Diabetologie/Endokrinologie;Was ist bei der Volumen-/Flssigkeitstherapie der DKA zu beachten, um eine gefrchtete Komplikation zu vermeiden?;Rascher Bolus von 20 ml/kg hypertoner Kochsalzl”sung;Ausschlieáliche Gabe von freiem Wasser per Magensonde;Langsamer, kontrollierter Flssigkeits- und Glukoseausgleich, um ein Hirn”dem zu vermeiden (kein zu rascher Abfall der Osmolarit„t).;Gleichzeitige Gabe von hochdosiertem Kalziumgluconat zur Myokardprotektion;C;Langsamer, kontrollierter Flssigkeits- und Glukoseausgleich, um ein Hirn”dem zu vermeiden (kein zu rascher Abfall der Osmolarit„t).;schwer
41;Diabetologie/Endokrinologie;Welcher Enzymdefekt ist fr die h„ufigste Form des adrenogenitalen Syndroms (AGS) verantwortlich?;Keine Angabe;Keine Angabe;Der 21-Hydroxylase-Mangel.;Keine Angabe;C;Der 21-Hydroxylase-Mangel.;leicht
42;Diabetologie/Endokrinologie;Welche Laborbestimmung dient der Diagnose des klassischen AGS durch 21-Hydroxylase-Mangel?;Keine Angabe;"Erh”hung des 17-Hydroxyprogesterons (17-OHP); im Neugeborenenscreening erfasst.";Keine Angabe;Keine Angabe;B;"Erh”hung des 17-Hydroxyprogesterons (17-OHP); im Neugeborenenscreening erfasst.";mittel
43;Diabetologie/Endokrinologie;Welche akute, lebensbedrohliche Manifestation droht beim AGS mit Salzverlust und wie sieht die Dauertherapie aus?;Keine Angabe;Keine Angabe;Keine Angabe;"Salzverlustkrise (Hyponatri„mie, Hyperkali„mie, Hypovol„mie, Schock); Dauertherapie mit Hydrocortison plus Fludrocortison (Mineralokortikoid).";D;"Salzverlustkrise (Hyponatri„mie, Hyperkali„mie, Hypovol„mie, Schock); Dauertherapie mit Hydrocortison plus Fludrocortison (Mineralokortikoid).";schwer
44;Diabetologie/Endokrinologie;Welche endokrine Erkrankung wird durch das TSH-Screening beim Neugeborenen erfasst und warum ist die frhe Therapie entscheidend?;"Die konnatale (kongenitale) Hypothyreose; frhe L-Thyroxin-Therapie verhindert irreversible Intelligenzminderung und Wachstumsst”rung.";Keine Angabe;Keine Angabe;Keine Angabe;A;"Die konnatale (kongenitale) Hypothyreose; frhe L-Thyroxin-Therapie verhindert irreversible Intelligenzminderung und Wachstumsst”rung.";mittel
45;Diabetologie/Endokrinologie;Womit wird die kongenitale Hypothyreose behandelt?;Keine Angabe;Keine Angabe;Keine Angabe;Mit L-Thyroxin (Levothyroxin), m”glichst frh begonnen.;D;Mit L-Thyroxin (Levothyroxin), m”glichst frh begonnen.;leicht
46;Diabetologie/Endokrinologie;Ab welchem Perzentilwert spricht man definitionsgem„á von Kleinwuchs?;Wenn die K”rperl„nge/-h”he unterhalb der 3. Perzentile (bzw. unter -2 SDS) liegt.;Keine Angabe;Keine Angabe;Keine Angabe;A;Wenn die K”rperl„nge/-h”he unterhalb der 3. Perzentile (bzw. unter -2 SDS) liegt.;mittel
47;Diabetologie/Endokrinologie;Nennen Sie wichtige endokrine bzw. genetische Ursachen eines Kleinwuchses.;Keine Angabe;Wachstumshormonmangel, Hypothyreose, Cushing-Syndrom sowie syndromale Ursachen wie Ullrich-Turner-Syndrom (SHOX-Defekt).;Keine Angabe;Keine Angabe;B;Wachstumshormonmangel, Hypothyreose, Cushing-Syndrom sowie syndromale Ursachen wie Ullrich-Turner-Syndrom (SHOX-Defekt).;mittel
48;Diabetologie/Endokrinologie;Welche Laborparameter werden in der Diagnostik des Wachstumshormonmangels bestimmt und welcher Test ist wegweisend?;IGF-1 (und IGFBP-3) als Screening sowie GH-Stimulationstests (z. B. Insulin-Hypoglyk„mie-Test, Arginin-/Clonidin-Test).;Keine Angabe;Keine Angabe;Keine Angabe;A;IGF-1 (und IGFBP-3) als Screening sowie GH-Stimulationstests (z. B. Insulin-Hypoglyk„mie-Test, Arginin-/Clonidin-Test).;schwer
49;Diabetologie/Endokrinologie;Wie unterscheiden sich Diabetes insipidus und SIADH bezglich Urin und Serumnatrium?;Diabetes insipidus: Polyurie mit verdnntem Urin und Hypernatri„mie. SIADH: konzentrierter Urin mit Wasserretention und Hyponatri„mie.;Keine Angabe;Keine Angabe;Keine Angabe;A;Diabetes insipidus: Polyurie mit verdnntem Urin und Hypernatri„mie. SIADH: konzentrierter Urin mit Wasserretention und Hyponatri„mie.;schwer
50;Diabetologie/Endokrinologie;Welche zwei Hauptformen des Diabetes insipidus gibt es?;Keine Angabe;Der zentrale (ADH-/Vasopressinmangel) und der renale (nephrogene, ADH-Resistenz) Diabetes insipidus.;Keine Angabe;Keine Angabe;B;Der zentrale (ADH-/Vasopressinmangel) und der renale (nephrogene, ADH-Resistenz) Diabetes insipidus.;mittel
51;Diabetologie/Endokrinologie;Welcher Vitaminmangel verursacht die klassische Rachitis und welche Befunde sind typisch?;"Vitamin-D-Mangel; typisch sind aufgetriebene Wachstumsfugen (?rachitischer Rosenkranz?), Auftreibungen, Kraniotabes, Hypokalz„mie und erh”hte alkalische Phosphatase.";Keine Angabe;Keine Angabe;Keine Angabe;A;"Vitamin-D-Mangel; typisch sind aufgetriebene Wachstumsfugen (?rachitischer Rosenkranz?), Auftreibungen, Kraniotabes, Hypokalz„mie und erh”hte alkalische Phosphatase.";mittel
52;Diabetologie/Endokrinologie;Welche Prophylaxe gegen Rachitis erhalten S„uglinge in Deutschland im ersten Lebensjahr?;Keine Angabe;Keine Angabe;Keine Angabe;T„gliche Vitamin-D-Supplementation (Vitamin-D-Prophylaxe).;D;T„gliche Vitamin-D-Supplementation (Vitamin-D-Prophylaxe).;leicht
53;Diabetologie/Endokrinologie;Welche Autoimmunerkrankung ist die h„ufigste Ursache einer Hyperthyreose im Jugendalter?;Morbus Basedow (Graves-Krankheit) mit TSH-Rezeptor-Antik”rpern (TRAK).;Keine Angabe;Keine Angabe;Keine Angabe;A;Morbus Basedow (Graves-Krankheit) mit TSH-Rezeptor-Antik”rpern (TRAK).;mittel
54;Diabetologie/Endokrinologie;Was versteht man unter Pubertas praecox und ab welchem Alter gilt sie grob als pathologisch?;Vorzeitiger Pubert„tsbeginn ? bei M„dchen vor dem 8., bei Jungen vor dem 9. Lebensjahr.;Keine Angabe;Keine Angabe;Keine Angabe;A;Vorzeitiger Pubert„tsbeginn ? bei M„dchen vor dem 8., bei Jungen vor dem 9. Lebensjahr.;mittel
55;Diabetologie/Endokrinologie;Wie unterscheidet man zentrale (GnRH-abh„ngige) und periphere (GnRH-unabh„ngige) Pubertas praecox?;Keine Angabe;Keine Angabe;Keine Angabe;Zentrale Form: vorzeitige Aktivierung der Hypothalamus-Hypophysen-Gonaden-Achse (GnRH-abh„ngig). Periphere Form: gonadale/adrenale Sexualhormonproduktion unabh„ngig von GnRH (z. B. Tumor, AGS).;D;Zentrale Form: vorzeitige Aktivierung der Hypothalamus-Hypophysen-Gonaden-Achse (GnRH-abh„ngig). Periphere Form: gonadale/adrenale Sexualhormonproduktion unabh„ngig von GnRH (z. B. Tumor, AGS).;schwer
